model-1594054321,1594054322.75,0.36,0.2221,0.32,0.2231,0
model-1594054321,1594054322.857,0.39,0.2223,0.35,0.2226,0
model-1594054321,1594054322.976,0.33,0.2224,0.28,0.2227,0
model-1594054321,1594054323.094,0.43,0.2221,0.3,0.2224,0
model-1594054321,1594054323.213,0.21,0.2231,0.36,0.2221,0
model-1594054321,1594054323.322,0.37,0.2213,0.36,0.2216,0
model-1594054321,1594054323.429,0.31,0.2224,0.35,0.222,0
model-1594054321,1594054323.537,0.42,0.2218,0.44,0.2216,0
model-1594054321,1594054323.643,0.49,0.2218,0.46,0.2216,0
model-1594054321,1594054323.747,0.64,0.2207,0.44,0.2219,0
model-1594054321,1594054323.857,0.55,0.2212,0.48,0.2212,0
model-1594054321,1594054323.964,0.53,0.2212,0.52,0.2207,0
model-1594054321,1594054324.068,0.5,0.2209,0.44,0.2207,0
model-1594054321,1594054324.177,0.41,0.2209,0.48,0.2201,0
model-1594054321,1594054324.273,0.42,0.2206,0.55,0.2196,0
model-1594054321,1594054324.373,0.44,0.2203,0.53,0.2202,0
model-1594054321,1594054324.469,0.46,0.2204,0.58,0.2194,0
model-1594054321,1594054324.565,0.52,0.2201,0.57,0.2192,0
model-1594054321,1594054324.675,0.58,0.2192,0.6,0.2189,0
model-1594054321,1594054324.788,0.6,0.2188,0.5,0.2195,0
model-1594054321,1594054324.898,0.52,0.2187,0.52,0.2175,0
model-1594054321,1594054325.033,0.52,0.2185,0.34,0.2196,0
model-1594054321,1594054325.138,0.49,0.217,0.53,0.2163,0
model-1594054321,1594054325.243,0.47,0.217,0.54,0.2167,0
model-1594054321,1594054325.34,0.53,0.2154,0.46,0.2172,0
model-1594054321,1594054325.444,0.42,0.2159,0.46,0.2177,0
model-1594054321,1594054325.559,0.41,0.2176,0.52,0.2145,0
model-1594054321,1594054325.667,0.49,0.2163,0.54,0.2141,0
model-1594054321,1594054325.772,0.56,0.2145,0.54,0.215,0
model-1594054321,1594054325.869,0.56,0.2134,0.67,0.2098,0
model-1594054321,1594054325.97,0.6,0.2134,0.63,0.2098,0
model-1594054321,1594054326.07,0.62,0.2109,0.55,0.2117,0
model-1594054321,1594054326.174,0.52,0.2112,0.63,0.2082,0
model-1594054321,1594054326.273,0.59,0.2101,0.65,0.2069,0
model-1594054321,1594054326.372,0.62,0.2073,0.61,0.2064,0
model-1594054321,1594054326.472,0.62,0.2058,0.6,0.2058,0
model-1594054321,1594054326.583,0.56,0.2097,0.53,0.2069,0
model-1594054321,1594054326.695,0.65,0.2018,0.54,0.2085,0
model-1594054321,1594054326.795,0.65,0.2013,0.6,0.2039,0
model-1594054321,1594054326.847,0.8,0.1859,0.52,0.2094,0
model-1594054321,1594054326.943,0.58,0.1987,0.46,0.2096,1
model-1594054321,1594054327.042,0.51,0.202,0.43,0.2108,1
model-1594054321,1594054327.141,0.49,0.1981,0.48,0.2035,1
model-1594054321,1594054327.24,0.43,0.2074,0.62,0.1898,1
model-1594054321,1594054327.345,0.63,0.1889,0.7,0.1842,1
model-1594054321,1594054327.452,0.58,0.1924,0.5,0.2024,1
model-1594054321,1594054327.553,0.72,0.1866,0.68,0.1838,1
model-1594054321,1594054327.657,0.59,0.1945,0.67,0.1881,1
model-1594054321,1594054327.756,0.58,0.1921,0.6,0.1936,1
model-1594054321,1594054327.855,0.56,0.1871,0.52,0.1908,1
model-1594054321,1594054327.951,0.64,0.1864,0.65,0.1824,1
model-1594054321,1594054328.048,0.59,0.1848,0.64,0.173,1
model-1594054321,1594054328.16,0.54,0.1862,0.64,0.1766,1
model-1594054321,1594054328.27,0.48,0.1963,0.57,0.1811,1
model-1594054321,1594054328.368,0.49,0.191,0.61,0.1795,1
model-1594054321,1594054328.477,0.55,0.1869,0.57,0.1905,1
model-1594054321,1594054328.57,0.63,0.1861,0.66,0.1782,1
model-1594054321,1594054328.672,0.6,0.1872,0.57,0.1873,1
model-1594054321,1594054328.77,0.65,0.1819,0.67,0.1771,1
model-1594054321,1594054328.871,0.63,0.1812,0.71,0.1758,1
model-1594054321,1594054328.979,0.66,0.181,0.6,0.1852,1
model-1594054321,1594054329.085,0.69,0.1776,0.67,0.1746,1
model-1594054321,1594054329.187,0.7,0.1672,0.69,0.1544,1
model-1594054321,1594054329.286,0.62,0.1726,0.66,0.165,1
model-1594054321,1594054329.384,0.6,0.1593,0.61,0.1665,1
model-1594054321,1594054329.482,0.59,0.1786,0.57,0.1751,1
model-1594054321,1594054329.58,0.53,0.1807,0.62,0.165,1
model-1594054321,1594054329.677,0.57,0.1754,0.57,0.1804,1
model-1594054321,1594054329.789,0.58,0.1721,0.57,0.1796,1
model-1594054321,1594054329.909,0.53,0.1846,0.65,0.1707,1
model-1594054321,1594054330.027,0.57,0.1813,0.51,0.184,1
model-1594054321,1594054330.131,0.59,0.1686,0.67,0.1599,1
model-1594054321,1594054330.256,0.52,0.1769,0.54,0.1722,1
model-1594054321,1594054330.385,0.61,0.1691,0.65,0.1463,1
model-1594054321,1594054330.493,0.63,0.1635,0.52,0.1815,1
model-1594054321,1594054330.6,0.59,0.1658,0.57,0.1748,1
model-1594054321,1594054330.697,0.55,0.1783,0.65,0.1528,1
model-1594054321,1594054330.799,0.66,0.1496,0.62,0.1558,1
model-1594054321,1594054330.896,0.62,0.1569,0.67,0.1507,1
